date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:44	73064/73064	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Aug%202019%2005:37:47%20GMT	https://iqonic.design/themes/bizbag-html/index.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/index.html	(from )
20:08:46	76/76	---M-Z	200	added ('OK')	text/plain	date:Fri,%2018%20Sep%202020%2014:38:46%20GMT	https://iqonic.design/robots.txt		(from )
20:08:46	8246/8246	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%222036-58e06b1331e12%22	https://iqonic.design/themes/bizbag-html/images/favicon.ico	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/images/favicon.ico	(from https://iqonic.design/themes/bizbag-html/index.html)
20:08:46	153182/153182	---M-Z	200	added ('OK')	text/css	etag:%222565e-58e06b13281d2-gzip%22	https://iqonic.design/themes/bizbag-html/css/bootstrap.min.css	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/css/bootstrap.min.css	(from https://iqonic.design/themes/bizbag-html/index.html)
20:08:46	30060/30060	---M-Z	200	added ('OK')	text/css	etag:%22756c-58e06b134c3f3-gzip%22	https://iqonic.design/themes/bizbag-html/revsilder/css/settings.css	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/revsilder/css/settings.css	(from https://iqonic.design/themes/bizbag-html/index.html)
20:08:47	9534/9534	---M-Z	200	added ('OK')	text/css	etag:%22253e-58e06b13281d2-gzip%22	https://iqonic.design/themes/bizbag-html/css/typography.css	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/css/typography.css	(from https://iqonic.design/themes/bizbag-html/index.html)
20:08:47	68598/68598	---M-Z	200	added ('OK')	text/css	etag:%2210bf6-58e06b13281d2-gzip%22	https://iqonic.design/themes/bizbag-html/css/style.css	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/css/style.css	(from https://iqonic.design/themes/bizbag-html/index.html)
20:08:47	8026/8026	---M-Z	200	added ('OK')	text/css	etag:%221f5a-58e06b13281d2-gzip%22	https://iqonic.design/themes/bizbag-html/css/responsive.css	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/css/responsive.css	(from https://iqonic.design/themes/bizbag-html/index.html)
20:08:48	64741/64741	---M--	200	added ('OK')	image/gif	etag:%22fce5-58e06b1331e12%22	https://iqonic.design/themes/bizbag-html/images/loader.gif	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/images/loader.gif	(from https://iqonic.design/themes/bizbag-html/index.html)
20:08:48	11957/11957	---M--	200	added ('OK')	image/png	etag:%222eb5-58e06b1331e12%22	https://iqonic.design/themes/bizbag-html/images/logo.png	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/images/logo.png	(from https://iqonic.design/themes/bizbag-html/index.html)
20:08:49	80082/80082	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Aug%202019%2006:04:07%20GMT	https://iqonic.design/themes/bizbag-html/home-2.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/home-2.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:08:49	67338/67338	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/home-3.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/home-3.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:08:50	81384/81384	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/home-4.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/home-4.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:08:51	81576/81576	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/home-5.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/home-5.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:08:51	46150/46150	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/about-us-1.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/about-us-1.html	(from https://iqonic.design/themes/bizbag-html/index.html)
